timestamp,energy_generation,hour,day_of_week,day_of_year,month,quarter,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,energy_generation_lag_1,energy_generation_lag_2,energy_generation_lag_3,energy_generation_lag_6,energy_generation_lag_12,energy_generation_lag_24,energy_generation_lag_48,energy_generation_lag_168,energy_generation_rolling_mean_24,energy_generation_rolling_std_24,energy_generation_rolling_mean_168,energy_generation_rolling_std_168
2025-01-08 12:00:00,5679.25,12,2,8,1,1,0,1.2246467991473532e-16,-1.0,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5693.86,5679.25,5676.65,5629.16,5154.32,5909.85,5919.67,4645.14,5427.363333333334,453.0629572977158,4946.99619047619,601.1692254572732
2025-01-08 13:00:00,5547.08,13,2,8,1,1,0,-0.2588190451025208,-0.9659258262890683,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5679.25,5693.86,5679.25,5836.76,4926.98,5852.31,5897.15,4727.36,5414.645416666666,444.82480754618916,4951.875476190476,602.7005192676713
2025-01-08 14:00:00,5489.47,14,2,8,1,1,0,-0.4999999999999997,-0.8660254037844388,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5547.08,5679.25,5693.86,5790.85,4703.31,5768.74,5786.55,4763.17,5403.009166666667,438.77079314945786,4956.198690476191,603.9424374973588
2025-01-08 15:00:00,5596.36,15,2,8,1,1,0,-0.7071067811865471,-0.7071067811865479,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5489.47,5547.08,5679.25,5676.65,4560.21,5655.1,5725.15,4809.38,5400.5616666666665,437.4653574127004,4960.883095238095,605.8458943488389
2025-01-08 16:00:00,5771.62,16,2,8,1,1,0,-0.8660254037844384,-0.5000000000000004,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5596.36,5489.47,5547.08,5679.25,4636.13,5846.27,5860.49,4826.71,5397.451249999999,434.41328605184196,4966.5075595238095,608.9708687097623
2025-01-08 17:00:00,5666.74,17,2,8,1,1,0,-0.9659258262890683,-0.25881904510252063,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5771.62,5596.36,5489.47,5693.86,5044.79,6146.0,6050.72,5018.59,5377.482083333333,408.7660938565789,4970.365595238096,611.3512763006015
2025-01-08 18:00:00,5326.81,18,2,8,1,1,0,-1.0,-1.8369701987210297e-16,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5666.74,5771.62,5596.36,5679.25,5629.16,5985.08,5778.59,4819.42,5350.054166666666,387.7695979507908,4973.385773809523,611.8542035999026
2025-01-08 19:00:00,5045.65,19,2,8,1,1,0,-0.9659258262890684,0.2588190451025203,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5326.81,5666.74,5771.62,5547.08,5836.76,5366.12,5452.26,4564.0,5336.70125,392.6789584636529,4976.252738095238,611.0523666639643
2025-01-08 20:00:00,4866.38,20,2,8,1,1,0,-0.8660254037844386,0.5000000000000001,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,5045.65,5326.81,5666.74,5489.47,5790.85,5347.84,5266.65,4511.39,5316.640416666666,404.2139499827773,4978.3657738095235,610.0481902987854
2025-01-08 21:00:00,4625.72,21,2,8,1,1,0,-0.7071067811865477,0.7071067811865474,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,4866.38,5045.65,5326.81,5596.36,5676.65,5151.17,5154.6,4307.95,5294.746666666667,427.1458152278419,4980.257261904761,608.4476141136572
2025-01-08 22:00:00,4549.27,22,2,8,1,1,0,-0.5000000000000004,0.8660254037844384,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,4625.72,4866.38,5045.65,5771.62,5679.25,4915.57,4865.56,4071.71,5279.484166666666,447.3497539365508,4983.099880952381,605.284877378594
2025-01-08 23:00:00,4569.23,23,2,8,1,1,0,-0.25881904510252157,0.9659258262890681,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,4549.27,4625.72,4866.38,5666.74,5693.86,5211.0,4732.98,4007.07,5252.74375,470.21785686148127,4986.4460714285715,601.3982040890048
2025-01-09 00:00:00,4406.79,0,3,9,1,1,0,0.0,1.0,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4569.23,4549.27,4625.72,5326.81,5679.25,5154.32,4713.45,4240.73,5221.596666666667,500.7853957766541,4987.434523809524,600.3006788506195
2025-01-09 01:00:00,4264.97,1,3,9,1,1,0,0.25881904510252074,0.9659258262890683,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4406.79,4569.23,4549.27,5045.65,5547.08,4926.98,4913.05,4180.18,5194.0129166666675,534.7959046335849,4987.939226190476,599.6532104994287
2025-01-09 02:00:00,4128.53,2,3,9,1,1,0,0.49999999999999994,0.8660254037844387,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4264.97,4406.79,4569.23,4866.38,5489.47,4703.31,4869.83,4022.92,5170.06375,569.4716148349361,4988.567857142857,598.6900830192201
2025-01-09 03:00:00,4027.12,3,3,9,1,1,0,0.7071067811865475,0.7071067811865476,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4128.53,4264.97,4406.79,4625.72,5596.36,4560.21,4848.29,3894.08,5147.8516666666665,603.6630914001893,4989.359761904761,597.3201237372639
2025-01-09 04:00:00,4134.87,4,3,9,1,1,0,0.8660254037844386,0.5000000000000001,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4027.12,4128.53,4264.97,4549.27,5771.62,4636.13,4701.48,3826.16,5126.965833333333,630.2247184513586,4991.197321428572,594.1869297045373
2025-01-09 05:00:00,4684.55,5,3,9,1,1,0,0.9659258262890683,0.25881904510252074,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4134.87,4027.12,4128.53,4569.23,5666.74,5044.79,4746.59,3826.97,5111.955833333333,636.5253914735631,4996.301964285714,587.7743142249293
2025-01-09 06:00:00,5243.02,6,3,9,1,1,0,1.0,6.123233995736766e-17,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,4684.55,4134.87,4027.12,4406.79,5326.81,5629.16,5041.6,4134.24,5095.866666666667,627.7028581413612,5002.901845238095,584.2510675974762
2025-01-09 07:00:00,5485.68,7,3,9,1,1,0,0.9659258262890683,-0.25881904510252063,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5243.02,4684.55,4134.87,4264.97,5045.65,5836.76,5534.2,4539.64,5081.238333333334,613.6188444803848,5008.533035714286,584.3183789177173
2025-01-09 08:00:00,5526.27,8,3,9,1,1,0,0.8660254037844387,-0.4999999999999998,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5485.68,5243.02,4684.55,4128.53,4866.38,5790.85,5818.12,4881.42,5070.214166666667,602.5934413481369,5012.371428571429,585.5949904221587
2025-01-09 09:00:00,5561.1,9,3,9,1,1,0,0.7071067811865476,-0.7071067811865475,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5526.27,5485.68,5243.02,4027.12,4625.72,5676.65,5851.88,5017.84,5065.399583333334,597.9814536201983,5015.605119047619,587.1233316865926
2025-01-09 10:00:00,5580.67,10,3,9,1,1,0,0.49999999999999994,-0.8660254037844387,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5561.1,5526.27,5485.68,4134.87,4549.27,5679.25,5985.03,5184.25,5061.292083333334,593.9063088530586,5017.964761904763,588.5999196214577
2025-01-09 11:00:00,5474.98,11,3,9,1,1,0,0.258819045102521,-0.9659258262890682,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5580.67,5561.1,5526.27,4684.55,4569.23,5693.86,5921.21,5227.68,5052.172083333334,585.3897817989268,5019.436785714286,589.4361760102673
2025-01-09 12:00:00,5517.11,12,3,9,1,1,0,1.2246467991473532e-16,-1.0,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5474.98,5580.67,5561.1,5243.02,4406.79,5679.25,5909.85,5183.12,5045.41625,578.7359796240482,5021.424821428572,590.5537256610814
2025-01-09 13:00:00,5422.47,13,3,9,1,1,0,-0.2588190451025208,-0.9659258262890683,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5517.11,5474.98,5580.67,5485.68,4264.97,5547.08,5852.31,5087.05,5040.224166666667,574.583732551064,5023.421369047619,591.3433872377803
2025-01-09 14:00:00,5354.64,14,3,9,1,1,0,-0.4999999999999997,-0.8660254037844388,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5422.47,5517.11,5474.98,5526.27,4128.53,5489.47,5768.74,4951.28,5034.60625,570.6459629289067,5025.822321428572,591.8673495399669
2025-01-09 15:00:00,5539.65,15,3,9,1,1,0,-0.7071067811865471,-0.7071067811865479,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5354.64,5422.47,5517.11,5561.1,4027.12,5596.36,5655.1,4984.1,5032.243333333333,568.3314502132037,5029.129166666667,593.1833497976372
2025-01-09 16:00:00,5795.23,16,3,9,1,1,0,-0.8660254037844384,-0.5000000000000004,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,5539.65,5354.64,5422.47,5580.67,4134.87,5771.62,5846.27,5187.5,5033.227083333334,569.6857344908871,5032.746607142857,596.0013160605478
