timestamp,energy_generation,dc_power,daily_yield,hour,day_of_week,day_of_year,month,quarter,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,energy_generation_lag_1,energy_generation_lag_2,energy_generation_lag_3,energy_generation_lag_6,energy_generation_lag_12,energy_generation_lag_24,energy_generation_lag_48,energy_generation_lag_168,energy_generation_rolling_mean_24,energy_generation_rolling_std_24,energy_generation_rolling_mean_168,energy_generation_rolling_std_168
2020-05-24 07:30:00,6935.7446427,70595.035713,199.1306818181818,7,6,145,5,2,1,0.9659258262890683,-0.25881904510252063,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,5254.5017856,3803.4232142,2550.6321429,229.539285712,0.0,0.0,0.0,26879.828571,883.8198660588333,1879.3309080049014,6674.050498855084,9308.31131099685
2020-05-24 07:45:00,8648.3732143,88050.142858,286.5511363590909,7,6,145,5,2,1,0.9659258262890683,-0.25881904510252063,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,6935.7446427,5254.5017856,3803.4232142,851.26071429,0.0,0.0,0.0,27677.362499000003,1244.168749988,2446.151073647572,6560.782705493774,9165.8901628756
2020-05-24 08:00:00,10366.8571427,105709.053573,396.1103896181818,8,6,145,5,2,1,0.8660254037844387,-0.4999999999999998,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,8648.3732143,6935.7446427,5254.5017856,1586.57500001,0.0,0.0,0.0,21636.85,1676.1211309338335,3056.1524954399324,6493.699414676511,9095.864679643328
2020-05-24 08:15:00,11275.0142856,115020.142856,513.8189935045455,8,6,145,5,2,1,0.8660254037844387,-0.4999999999999998,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,10366.8571427,8648.3732143,6935.7446427,2550.6321429,0.0,0.0,0.0,20300.3875002,2145.9133928338333,3604.670997583026,6439.9769550657975,9040.3140458374
2020-05-24 08:30:00,15020.8178572,153380.410714,668.0633116909091,8,6,145,5,2,1,0.8660254037844387,-0.4999999999999998,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,11275.0142856,10366.8571427,8648.3732143,3803.4232142,0.0,0.0,0.0,24282.6250013,2771.7808035505,4426.261546117339,6384.847150636631,8958.726242591463
2020-05-24 08:45:00,11194.048214299999,114169.464285,815.2053571454545,8,6,145,5,2,1,0.8660254037844387,-0.4999999999999998,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,15020.8178572,11275.0142856,10366.8571427,5254.5017856,0.0,0.0,0.0,23066.4690486,3238.199479146333,4702.644518220454,6314.177979003893,8872.762757621846
2020-05-24 09:00:00,16240.244643,165905.160714,966.0974025818182,9,6,145,5,2,1,0.7071067811865476,-0.7071067811865475,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,11194.048214299999,15020.8178572,11275.0142856,6935.7446427,229.539285712,0.0,0.0,24029.846429,3914.8763392713336,5341.469226771926,6267.811301706274,8799.683302001838
2020-05-24 09:15:00,14791.325,151049.107144,1141.0056818181818,9,6,145,5,2,1,0.7071067811865476,-0.7071067811865475,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,16240.244643,11194.048214299999,15020.8178572,8648.3732143,851.26071429,0.0,0.0,23499.6464286,4531.181547604667,5710.686620541437,6215.976055107464,8722.88336247055
2020-05-24 09:30:00,17605.9589287,179945.374999,1335.9228896818183,9,6,145,5,2,1,0.7071067811865476,-0.7071067811865475,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,14791.325,16240.244643,11194.048214299999,10366.8571427,1586.57500001,0.0,0.0,19344.0410716,5264.763169633833,6212.111060467031,6205.630328066392,8708.238084988643
2020-05-24 09:45:00,13575.3571429,138602.357143,1515.0511363636363,9,6,145,5,2,1,0.7071067811865476,-0.7071067811865475,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,17605.9589287,14791.325,16240.244643,11275.0142856,2550.6321429,0.0,0.0,21292.655357,5830.403050588,6328.839874430595,6159.694029172941,8648.32530462934
2020-05-24 10:00:00,15625.2982143,159661.589284,1678.6907467727274,10,6,145,5,2,1,0.49999999999999994,-0.8660254037844387,0.6029878670694714,-0.7977503570459932,0.49999999999999994,-0.8660254037844387,13575.3571429,17605.9589287,14791.325,15020.8178572,3803.4232142,0.0,0.0,18061.0517857,6481.4571428505005,6504.247384135472,6145.195496009845,8630.276616343916
