timestamp,energy_generation,wind_direction_100m,wind_direction_sin,wind_direction_cos,hour,day_of_week,day_of_year,month,quarter,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,energy_generation_lag_1,energy_generation_lag_2,energy_generation_lag_3,energy_generation_lag_6,energy_generation_lag_12,energy_generation_lag_24,energy_generation_lag_48,energy_generation_lag_168,energy_generation_rolling_mean_24,energy_generation_rolling_std_24,energy_generation_rolling_mean_168,energy_generation_rolling_std_168
2012-02-22 11:30:00,21.637557012925058,309.90000000000003,-0.767165151815299,0.6414496315691586,11,2,53,2,1,0,0.258819045102521,-0.9659258262890682,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,11.347202135312555,8.84414284075865,42.162643228269864,33.76348870654331,53.787963062977404,2.8924240737070726,96.8962064691904,22.02692179207759,34.692865352021364,41.987984844547796,66.08937378121439,84.95329167416378
2012-02-22 12:30:00,11.903437534102839,307.76,-0.7905827096287531,0.6123552720733763,12,2,53,2,1,0,1.2246467991473532e-16,-1.0,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,21.637557012925058,11.347202135312555,8.84414284075865,28.31238179840277,195.90610745378217,13.460896650714243,252.75336521010377,6.452330625961979,34.62797122216255,42.023415054517706,66.12182084614379,84.93141568616828
2012-02-22 13:30:00,46.72377349834684,316.16,-0.6926468888539986,0.7212768451578607,13,2,53,2,1,0,-0.2588190451025208,-0.9659258262890683,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,11.903437534102839,21.637557012925058,11.347202135312555,5.228612748624494,17.743909221395917,51.2849037684235,649.9054399460501,7.28668372414693,34.437924127576025,41.95506845927485,66.35656542813308,84.82225622041962
2012-02-22 14:30:00,20.191344976071207,319.79,-0.6455909854475244,0.7636833633836044,14,2,53,2,1,0,-0.4999999999999997,-0.8660254037844388,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,46.72377349834684,11.903437534102839,21.637557012925058,42.162643228269864,114.36199799119133,7.842919122936581,69.41817776897226,112.63766825494281,34.952441871456635,41.68961706772363,65.80628969433026,84.8200824371606
2012-02-22 15:30:00,9.734119478822219,321.54,-0.6219681214153635,0.7830425633023045,15,2,53,2,1,0,-0.7071067811865471,-0.7071067811865479,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,20.191344976071207,46.72377349834684,11.903437534102839,8.84414284075865,47.00189119774151,44.220714203792305,33.2628768476326,142.5075091699573,33.51550042458288,41.949795892015054,65.01597189854971,84.71963710839508
2012-02-22 16:30:00,40.104572252747424,328.75,-0.5187732581605222,0.8549118706729462,16,2,53,2,1,0,-0.8660254037844384,-0.5000000000000004,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,9.734119478822219,20.191344976071207,46.72377349834684,11.347202135312555,22.193792411714707,16.075203025026333,21.025698074256,135.05395482617325,34.51672414240459,41.80194334652308,64.45079700227932,84.56617789251673
2012-02-22 17:30:00,29.14673489658772,323.51,-0.5946824782030598,0.8039606645341968,17,2,53,2,1,0,-0.9659258262890683,-0.25881904510252063,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,40.104572252747424,9.734119478822219,20.191344976071207,21.637557012925058,33.76348870654331,1.5018355767324696,6.174212926567312,109.57837356159894,35.66859494739856,41.2296154210302,63.972037248320916,84.53683572424505
2012-02-22 18:30:00,4.561130270076659,324.33,-0.5831159254446163,0.8123889570229698,18,2,53,2,1,0,-1.0,-1.8369701987210297e-16,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,29.14673489658772,40.104572252747424,9.734119478822219,11.903437534102839,28.31238179840277,6.84169540511483,59.850928909786845,30.53732339356201,35.5735714001053,41.301507937867655,63.817417051157314,84.6220675404875
2012-02-22 19:30:00,8.232283902089748,325.81,-0.5619390164998407,0.8271786637330486,19,2,53,2,1,0,-0.9659258262890684,0.2588190451025203,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,4.561130270076659,29.14673489658772,40.104572252747424,46.72377349834684,5.228612748624494,23.69562798844718,86.93959283085229,23.02814550989966,34.929265396507084,41.61429111212521,63.72934644634891,84.67245767616383
2012-02-22 20:30:00,94.1150294752412,308.89,-0.7783527369015127,0.627827219032374,20,2,53,2,1,0,-0.8660254037844386,0.5000000000000001,0.7905633969115482,0.612380204990065,0.8660254037844386,0.5000000000000001,8.232283902089748,4.561130270076659,29.14673489658772,20.191344976071207,42.162643228269864,9.734119478822219,60.12904660918168,42.55200800742272,38.44513664635787,42.936616098548804,64.03626919318117,84.68868576934271
